Review
"Bagus sih,cuma tolong fix di bagian freeze. Maksud saya,layar freeze ini terjadi tidak pada android low end,tapi mid end,Helio g85 dan ram 6 masih mengalami kendala lag,tidak tahu mengapa,namun semenjak renderdragon,sistem rendering yang berat membuat Minecraft menjadi tidak optimal. Tolong di tingkatkan lagi performance nya.a good game it won't work if it lags"
"Sedikit kecewa di update 1.21.2, bukannya tambah optimal justru makin berat, layar suka ngeFreeze & fps drop parah sekaligus device cepat panas, dimna di versi 1.21.0 & 1.21.1 hal tersebut jarang terjadi atau Tergolong optimal dibandingkan versi yg sekarang. Padahal spek device yg digunakan sudah tergolong mumpuni/tidak kentang2 amat."
"Sudah sangat bagus, saya sudah bermain sangat lama, untuk masalah frezze di game, itu karena pengaturan fps yang tak terbatas, di bagian pengaturan video paling bawah, bisa di sesuaikan sesuai device ya, jika ram 2 cukup di 30 fps, jika ram 3 cukup 40 fps, ram 4 bisa di 60 fps, semoga tips saya bermanfaat"
"Gamenya bagus mantap dari dulu sampe sekarang. Tapi tolong di optimalkan lagi gamenya karna sering sekali lag,frame drop,dan freeze, dan ada tambahan lagi yang harus diperbaiki mojang yaitu tolong fix bug control yang kita ubah selalu tiba-tiba berubah"
"Terima kasih mojang studios atas diskon besar besaran minecraftnya, saya bisa membeli minecraft anda secara gratis, saya mau menyampaikan suatu hal. Tolong hilangkan sebuah bug yaitu bug yang selalu nge freeze di minecraftnya, kalau kita meningkatkan seluruh performa, bug tersebut masih saja ada. Bug tersebut muncul ketika saya sedang berjalan dan menghancurkan sebuah blok. Tiba tiba layar hp saya ngefreeze selama 5 detik, itu lumayan mengganggu. Mohon ya mojang perbaiki bugnya. Sekian Thanks"
"Untuk pengalaman bermain kurang, sering terjadi frame drop selama 1-3 detik pada game minecraft nya, itu sangat mengganggu, lebih bagus minecraft dulu yang pengalaman bermain enak, jadi saya sarankan kepada mojang untuk bisa memperbaiki frame drop, kasian orang yang main minecraft dalam mode survival terus terjadi frame drop kayak gitu, jadi saya harap di perbaiki lagi gameplaynya Terima kasih🙏"
"Overall gamenya bagus & seru, TPI ad permasalahan di Server. Setiap kali gue mau main di server psti loadingny lama pdhl jaringan bagus, gue udh cek segala macem opsi"" internet di setting tetep gak work. Satu lagi, kadang"" tuh pas masuk ke Layar utama pasti skin berubah jdi Steve/Alex, pas mau gnti skin malahan gak bisa. Jadi untuk Developer Mojang mohon diperbaiki ya 🙇🏼"
"Gameplay sudah bagus, tapi ada sedikit bug pada controlernya. Controler sering kereset, padahal saya sudah tata controler senyamannya. Dan controler tidak bisa diubah tata letaknya, setelah kereset. Tolong perbaiki bug ini karena sangat menggangu permainan saya sering kali keluar world atau relog untuk membenarkan controlernya. Dan itu sangat memakan waktu bagi player. Tolong benarkan bug ini."
"gamenya makin berat! HP ku prosesornya snap 860 masih sedikit LAG! dan tombol custom controlnya tolong makin ditingkatkan karena masih ada kekurangannya yang membuatku tidak nyaman! seperti saat menekan tombol aksi dan menggerakkan layarnya secara bersamaan, terkadang ketika menggerakkannya terasa kurang nyaman (Tolong tingkatkan kontrolnya seperti kontrol game FPS android!)"
"Game seruu, saat saya kecil saya selalu bermain game ini menghilangkan kan gabut, tapi ada beberapa masalah yaitu tidak bisa ganti skin saat mode offline, ini sangat meresahkan padahal Minecraft dulu ganti skin saat mode offline bisaaa!!!! Tolong developer mojang perbaiki ini"
"Game nya bagus seru,tapi sering freeze kamera 1-3 detik dan itu bagi saya menggangu apalagi saat survival,saya tidak tahu apakah yang bikin lag itu frame drop atau freeze kamera jadi saya ingin itu diperbaiki dan saya ingin cepat diperbaiki🫡"
"untuk minecraft sekarang memang jadi lebih berat jadi memang suka nge freeze, tapi setelah beberapa waktu saya sudah terbiasa dengan freeze nya jadi g terlalu mengganggu untuk saya. saran nya sih coba hilangkan efek freeze nya saja karena memang di beberapa HP yg ram nya besar pun memang suka nge freeze jadi ya maklumin saja. semangat terus mojang mengupgrade minecraft nya👍👍"
"Tolong perbaiki bug map anniversary ny, dimohon, block berubah menjadi dirt tanda tanya, kaca menghilang, NPC hilang, tidak bisa kembali ke Hub, WHY MINECRAFT????????????? WHYYYY????????? Map semua Bug, akun rusak, map gratis Bug hampir semua map, tab KONTEN SAYA, muncul kotak abu² tidak jelas padahal kecepatan internet 899kb/s, untuk langganan gratis tidak muncul, Jadi ToLoNg peRbAiKi🙏🙏🙏🙏"
Kenapa saya beri 1🌟 karena masih banyak bug ( bukannya di perbaiki malah bertambah bug nya ) 1. Bug macet layar belum di fix karena sangat mengangu ketika sedang bermain pvp survival dll 2.tombol yg sudah di atur selalu berubah 3.voult dan prestas seperti ada yang hilang padahal sudah cape ngumpulin itu semua dari nol....perbaiki bug lalu saya akan beri 🌟5+
"Edit: Kalian tau, menurutku ini game emang keren..dari jaman Notch sampe sekarang semuanya udah berubah...tapi masih menyimpan ciri khasnya...gamenya bagus berbasis sandbox..kita bebas berpetualangan, dua mode yang punya ciri khasnya tersendiri, dan item yang beragam..good 👍👍"
"Aplikasi Minecraft satu ini sangat bagus tapi tempat penyimpanan file nya kenapa harus di ""android/data/com.mojang"" itu sangat susah untuk mengakses di android 13. Bahkan, sudah pakai shizuku dan zarchiver. Tetap tidak bisa di akses lewat android 13 dan 14. Mojang tolong perbaiki penyimpanan lokasi file Minecraft !!!"
Ya game nya bagus dari segi penambahan fitur bagus tapi ada beberapa masalah seperti di tidak bisa pasang shaders dan mungkin kalau bisa pasang shaders pun cuman yang graphic doang dan adapun mungkin ada beberapa add on yang jarang banget saya bisa Ter pasang(mungkin hp saya) jadi untuk ini saya kasih bintang 3 sementara
"Overall game ini udah bagus baik dari segi grafik, texture dll. Akan tetapi ada salah satu bug yang sering membuat saya kesal, yaitu ketika saya ingin bermain offline, skin saya berubah menjadi alex / steve. Tolong pihak mojang fix bug ini karena sangat membuat pengalaman bermain minecraft saya sangat berubah."
"Gamenya bagus banget, tapi sayang banyak bugnya, tolong untuk Mojang mohon perbaiki bugnya, misalnya bug di setting customize controlsnya itu sering ke reset ulang padahal sudah diatur, dan juga tampilan paper dollsnya jika pakai costumize controls itu tidak akan muncul"
"2 hal yg bikin gak nyaman main yakni. (1),layar sering ngefreeze apalagi Mabar (2),kalau offline ga bisa ganti ke skin costum harus online terlebih dahulu. 2 hal ini yg ga pernah di perbaiki dan di optimalkan dari sekian banyaknya bug😴😪"
"Game nya bagus tp ada beberapa hal yg membuat saya tidak enjoy memainkan game ini, 1.sering patah"" itu sangat mengganggu saat bermain di mode survival kerena saat ingin cepat"" malah patah"". 2.saat mabar bersama teman kadang suka keluar dari world yg kita bikin, alhasil map yg aku sama teman ku bikin jd ke riset. 3.katanya di update kali ini ada per baikan bug tp kok perasaan ku makin banyak bug nya bukan makin dikit? Ini maksud nya apa MOJANG? Udah itu aja yg mau disampaikan TERIMA KASIH🙏🙏🙏🙏"
"Perlu diperbaiki lagi performa game nya karena terkadang game nya suka freeze, lag, dan fps drop sehingga mengganggu kenyamanan disaat bermain untuk menikmati gameplay game, maka dimohon agar diperbaiki supaya lancar performa nya.🙏🏻"
"Saran pembaruan: perbaikan bug yang diketahui, Force Close, Frezze, dll. di masa mendatang. • Untuk saat ini, jangan memberikan update yang memberatkan. • Memperbaiki bug yang signifikan, jumlah pemain mungkin berkurang jika bug semakin besar dan mengganggu. • Meskipun spesifikasi ponsel ini cukup tinggi untuk game-game berat lainnya, tidak untuk game kotak piksel ini. • Terdapat beberapa game HD dengan gameplay lancar meski spesifikasi ponselnya rendah."
"Game masa kecilku dulu, selalu mabar bersama teman² dulu semakin kesini nih game makin bagus, dari mob² baru dan item² baru pokoknya the best lah, tapi tampilan menu proses pembuatan dunianya kurang nyaman, lebih bagusan yang sebelumnya soalnya agak aneh gitu, tolonglah kembalikan tampilan terdahulu."
"untuk di android masih ada banyak masalah seperti bug,layar beku,item hilang tiba tiba dan masih banyak lagi terutama saat main offline.untuk peningkatan selanjutnya saran saya ada fitur musim yang mempengaruhi efek panen tanaman dan saat musim salju semua bioma kecuali dessert dan savana menjadi bioma snow.tambahan tolong untuk mendapatkan achievement bisa saat offline.cukup itu saran saya agar ditambahkan supaya Minecraft lebih keren👍"
"Gamenya bagus,banyak item untuk survival itu udah bagus banget bagi saya, tapi kekurangan saya adalah bug performa karena beberapa detik ngefrezee/ lag itu sangat mengganggu apa lagi saat ada hostile mob uuuhhh mengganggu bener,hostile mob nya bisa meng attack kita tapi kita nya gk bisa gerak karena ngefrezee/lag,tolong devloper mojang yang terhormat tolonglah perbaiki bug seperti ini, mungkin bukan saya doang yg mengalami bug seperti ini player yg lain jga pasti pernah mengalami bug seperti ini"
"Game nya sangat hebat dan menyenangkan,hanya saja ada satu hal yang saya merasa tidak nyaman,yaitu sering terjadi layar freeze saat main dan itu sangat mengganggu mohon untuk pihak mojang agar segera memperbaiki bug tersebut terima kasih"
"Gamenya seru sih, bisa Mabar juga. Membantu meningkatkan kreativitas dan skil bertahan hidup. Tetapi tolonglah di fix, ketika saya main kadang kadang suka freeze sampai keluar sendiri. Jika sudah di fix saya ganti menjadi bintang 5."
"Versi kali ini masih banyak bug yang belum di fix, seperti frezee singkat tapi sering terjadi dan itu sangat menggangu permainan, dan berbagai bug lain nya, seperti armor netherite dan armor armor lain nya texture nya jadi aneh, mohon untuk versi berikutnya harus lebih baik lagi"
"Game nya udh bagus banget dri Dulu cuma pas update kok jdi sering nge freeze kamera nya dan lain lain lah, tolong itu perbaiki sja dulu jangan nambah nambah item Mulu mending di perbaiki dulu hal hal yang salah di dalam game kan banyak tuh komen tentang kamera nya dan lain lain (Pliss admin perbaiki dulu bug bug nya gak perlu nambah nambah item dulu)!!!"
"Game Minecraft ini memang game terbaik sepanjang hidup ku. Dan sekarang tim Mojang memang the best karena memberikan diskon pada mcpe sebesar 70%. Walaupun tolong untuk tim Mojang, agar menghilangkan bug freeze pada beberapa hp, seperti freeze tiba tiba saat nge render worldnya sama pas nge hancurin block nya (mungkin masalah partikel blocknya)"
"Gamenya bagus banget saya suka tapi, kenapa bugnya gak diperbaiki dari dulu, malah bugnya nambah parah, mulai dari keluar sendiri, ngecrash, dan banyak lagi, please perbaiki Minecraftnya mojang, jika Minecraftnya diperbaiki dan menjadi bagus dan seru saya bakal kasih bintang ⭐⭐⭐⭐⭐ , saya kesal dan greget karena bugnya jadi karena itulah saya kasih bintang⭐⭐"
Mohon Perbaiki Bug Pada Saat Mengenchant Armor Menjadi Kotak-kotak/tidak terlihat texture Seperti armor Pada Umum Nya!! Dan juga Fix Bug Kamera Pemain Bergetar!! #Mohon Di perbaiki Mojang!!!
"Mojang tolong diperbaiki kalo saya enchant sesuatu atau ngeliat armor enchant player lain kok sering ngecrash ya? sama setiap 10 detikan gitu ada screen freeze selama kira2 1-3 detik, sekarang malah 15 detik juga sering nih, dan klo main server kadang tiba2 ngecrash. Oh iya sama kalo main kenapa sih harus nunggu loading lama banget untuk dapetin balik skin yg udh dipake? Tolong diperbaiki Mojang"
"sejak render dragon muncul. Minecraft jadi sering ngefreeze sama gak bisa memakai shader... tolong diperbaiki dong mojang. mob biome doang ditambahin, tapi bug dan kekurangan gak diberesin"
"Ngframe banget mojang, tolong ya segera di perbaiki bug nya, agar semua player main dengan nyaman, tanpa ada kendala ngefram atau keluar sendiri,..... Minecraft ini pas membangun ke dalam world kadang ada fram drop, kaya ngefriz,.....tolong ya mojang segera perbaiki kalau sudah di perbaiki bintang 5 deh."
"Untuk game dan kualitas ya bisa dibilang bagus apalagi kalo ditambahin mod tambahan, tapi sekalinya update butuh memori internal banyak banget, bisa sampe 7GB apalagi buat player android. Menangis banget sih wkkw"
